Chemical,Synonyms,Category,FORMULA,CAS,Mass (Daltons),ComponentType,molType,Is Soluble,Solubility,Is_HAZARD,CODE,Risk No.,Safety phrases,"Flammable,Toxic/IrritantCorrosive",RefSampleName,SampleCategory,
Brilliant Blue G,,StainsAndDyes,C47H48N3O7S2Na,6104-58-1,854,MolComp,other,Y,,Y,2,R36/37/38,"S22,S26,S36",,Brilliant Blue G,Stains and Dyes
Brilliant Blue R,,StainsAndDyes,,6104-59-2,,MolComp,other,Y,,Y,2,,"S22,S24/25",,Brilliant Blue R,Stains and Dyes
"bromophenol blue,sodium salt",,StainsAndDyes,C19H9Br4NaO5S,62625-28-9,691.94,MolComp,other,Y,,,1,,,,"Bromophenol blue,sodium salt",Stains and Dyes
2-bromo-4'-nitroacetophenone,omega-bromo-4-nitroacetophenone; 4-nitrophenacyl bromide,Inhibitor,C8H6BrNO3,99-81-0,244.04,MolComp,other,Y,,Y,3,"R34,R37","R26,R36/37/38,R45",C,2-Brom-4'-nitroacetophenone,Chemical/Biochemical
polyoxyethylene(23) lauryl ether,C12E23,Detergent,,9002-92-0,1198,MolComp,other,Y,,Y,2,"R22,R38,R41","S26,S36/37/39",Xn,BRIJ (R) 35,Detergent
"1,2-butanediol","1,2-Butylene glycol","Additive,Organic",CH3CH2CH(OH)CH2OH,584-03-2,90.12,MolComp,other,Y,,,,,,,"1,2-Butanediol",Chemical/Biochemical
"1,3-butanediol","1,3-butylene glycol","Solvent,Organic",CH3CH(OH)CH2CH2OH,107-88-0,90.12,MolComp,other,,,,,,,,"1,3-Butanediol",Solvent
"1,4-butanediol","tetramethylene glycol; 1,4-butylene glycol ","Precipitant,Additive",HO(CH2)4OH,110-63-4,90.12,MolComp,other,Y,,,,R22,"S36,S37",Xn,"1,4-Butanediol",Chemical/Biochemical
"2,3-butanediol",,Cryo coolant,CH3CH(OH)CH(OH)CH3,513-85-9,90.12,MolComp,other,Y,,,,,,,"2,3-Butanediol",Chemical/Biochemical
"1,4-butanediol diglycidyl ether",,Cross linker,C10H18O4,2425-79-8,202.25,MolComp,other,Y,,Y,2,"R20/21,R36/38,R43","S26,S28,S37/39",Xn,"1,4-Butanediol diglycidyl ether",Chemical/Biochemical
n-butanol,1-butanol; butyl alcohol,"Additive,Solvent",CH3(CH2)3OH,71-36-3,74.12,MolComp,other,Y,,Y,,"R10,R22,R37/38,R41,R67","S13,S26,S37/39,S46,S7/9",Xn,n-Butanol,"Solvent,Chemical/Biochemical"
tert-butanol,tert-butyl alcohol; trimethyl carbinol; 2-methyl-2-propanol,"Precipitant,Additive",(CH3)3COH,75-65-0,74.12,MolComp,other,,,Y,2,"R11,R20","S9,S16","F,Xn",tert-Butanol,"Solvent,Chemical/Biochemical"
tert-butyl methylether,methyltert-butyl ether; MTBE,Additive,(CH3)3COCH3,1634-04-4,88.15,MolComp,other,,,,,,,,tert-Butyl methylether,Chemical/Biochemical
butyl formate,"n-butyl formate; formic acid,butyl ester",Inhibitor,HCOO(CH2)3CH3,592-84-7,102.13,MolComp,other,,,,,"R11,R36/37","S9,S16,S24,S33","F,Xi",Butyl formate,"Inhibitor,Chemical/Biochemical"
gamma-butyrolactone,gamma-hydroxybutyric acid lactone; 4-hydroxbutyric acid lactone; GBL,"Solvent,Organic",C4H6O2,96-48-0,69.09,MolComp,other,,,Y,,"R22,R36","S26,S36",Xn,gamma-Butyrolactone,Chemical/Biochemical
C12E8,"dodecyl octaethylene glycol ether;dodecyloctaglycol;polyoxyethylene (8) lauryl ether",Detergent,C28H58O9,3055-98-9,538.75,MolComp,other,,,,,,,,C12E8,Detergent,
CABS,4-[cyclohexylamino]-1-butanesulfonic acid,Buffering agent,C10H21NO3S,161308-34-5,235.34,MolComp,other,Y,,Y,,R36/37/38,"S26,S36",Xi,CABS,"Buffer,Buffering Agent,Chemical/Biochemical"
cadmium acetate,cadmium acetate anhydrous,Salt,Cd(CH3COO)2,89759-80-8,230.49,MolComp,other,N,,Y,,"R20/21/22,R50/53","S60,S61","Xn,N",Cadmium acetate,Chemical/Biochemical,
cadmium bromide,cadmium(II) bromide,Salt,CdBr2,7789-42-6,272.22,MolComp,other,Y,,Y,,"R20/21/22,R50/53","S60,S61","T,Xn,N",Cadmium bromide,Chemical/Biochemical,
cadmium chloride,,Salt,CdCl2,10108-64-2,183.32,MolComp,other,Y,,,,"R45,R46,R60,R61,R25,R26,R48/23/25,R50/53","S53,S45,S60,S61","T+,N",Cadmium chloride,Chemical/Biochemical,
cadmium chloride dihydrate,,Salt,CdCl2.2H2O,72589-96-9,219.35,MolComp,other,Y,,,,"R45,R46,R60,R61,R25,R26,R48/23/25,R50/53","S53,S45,S60,S61","T+,N",Cadmium chloride dihydrate,Chemical/Biochemical,
cadmium iodide,,Salt,CdI2,7790-80-9,366.22,MolComp,other,Y,,Y,,"R23/25,R33,R50/53,R68/20/22","S24,S45,S60,S61","T,N",Cadmium iodide,Chemical/Biochemical,
cadmium sulphate,cadmium sulfate,Salt,CdSO4,10124-36-4,208.47,MolComp,other,Y,,,,"R49,R22,R48/23/25,R50/53","S53,S45,S60,S61","T,N",Cadmium sulphate,Chemical/Biochemical,
cadmium sulphate hydrate,,Salt,(CdSO4)3.8H2O,7790-84-3,769.54,MolComp,other,Y,,,,"R49,R22,R48/23/25,R50/53","S53,S45,S60,S61","T,N",Cadmium sulphate hydrate,Chemical/Biochemical,
calcium acetate,Ca acetate,"Additive,Salt",(CH3CO2)2Ca,62-54-4,158.17,MolComp,other,Y,,,,R36/37/38,"S26,S36",,Calcium acetate,Chemical/Biochemical,
calcium carbonate,,Salt,CaCO3,471-34-1,100.09,MolComp,other,Y,,Y,1,"R37/38,R41","S26,S39",Xi,Calcium carbonate,Chemical/Biochemical,
calcium chloride,Ca chloride,Salt,CaCl2,10043-52-4,110.98,MolComp,other,Y,,,,R36,"S22,S24",Xi,Calcium chloride,Chemical/Biochemical,
calcium chloride dihydrate,,Salt,CaCl2.2H2O,10035-04-8,147.01,MolComp,other,Y,,,,R36,S26,Xi,Calcium chloride dihydrate,Chemical/Biochemical,
calcium chloride hexahydrate,,Salt,CaCl2.6H2O,7774-34-7,219.08,MolComp,other,Y,,Y,2,R36,"S26,S36",Xi,Calcium chloride hexahydrate,Chemical/Biochemical,
calcium sulphate,calcium sulfate,Salt,CaSO4,7778-18-9,136.14,MolComp,other,Y,,Y,,,"S22,S24/25",,Calcium sulfate,Chemical/Biochemical,
e-caprolactam,2-oxohexamethyleneimine; aza-2-cycloheptanone,Additive,C6H11NO,105-60-2,113.16,MolComp,other,Y,,,,,,,e-Caprolactam,Chemical/Biochemical,
CAPS,3-cyclohexylamino-1-propanesulfonic acid,Buffering agent,C6H11NH(CH2)3SO3H,1135-40-6,221.32,MolComp,other,Y,,,1,,"S22,S24/25",,CAPS,"Buffer,Buffering Agent,Chemical/Biochemical"
